registro_id,proyecto_id,proyecto,departamento,empleado_id,empleado,rol,fecha,tarea,horas,tarifa_hora,costo,presupuesto
20,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,09/02/2026,Reunion,3.8,170,646,100000
21,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,12/02/2026,Despliegue,3.9,170,663,100000
22,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,12/02/2026,Pruebas,4.1,195,799.5,100000
23,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,13/02/2026,Reunion,3.9,210,819,100000
24,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,20/02/2026,Diseño BD,5.3,170,901,100000
25,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,24/02/2026,Analisis,3.4,210,714,100000
26,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,27/02/2026,Reunion,3.5,195,682.5,100000
27,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,02/03/2026,Analisis,4.5,210,945,100000
28,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,03/03/2026,Documentacion,2.7,170,459,100000
29,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,06/03/2026,Diseño BD,4.9,170,833,100000
30,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,09/03/2026,Desarrollo backend,5.1,170,867,100000
31,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,09/03/2026,Desarrollo backend,2.4,170,408,100000
32,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,10/03/2026,Correccion de bugs,3.8,195,741,100000
33,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,10/03/2026,Diseño BD,5.6,195,1092,100000
34,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,12/03/2026,Correccion de bugs,2.7,195,526.5,100000
35,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,16/03/2026,Reunion,6,170,1020,100000
36,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,17/03/2026,Pruebas,5.2,195,1014,100000
37,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,20/03/2026,Correccion de bugs,0.7,195,136.5,100000
38,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,20/03/2026,Desarrollo backend,3.8,170,646,100000
39,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,20/03/2026,Analisis,4.2,170,714,100000
40,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,20/03/2026,Correccion de bugs,4.2,170,714,100000
41,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,23/03/2026,Diseño BD,1.5,195,292.5,100000
42,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,23/03/2026,Desarrollo backend,5,170,850,100000
43,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,24/03/2026,Documentacion,4.7,210,987,100000
44,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,24/03/2026,Correccion de bugs,2.4,195,468,100000
45,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,25/03/2026,Desarrollo backend,3.2,170,544,100000
46,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,26/03/2026,Despliegue,6,170,1020,100000
47,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,26/03/2026,Documentacion,6.2,170,1054,100000
48,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,27/03/2026,Pruebas,4.4,195,858,100000
49,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,01/04/2026,Desarrollo backend,5.3,170,901,100000
50,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,01/04/2026,Desarrollo frontend,2.2,210,462,100000
51,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,03/04/2026,Desarrollo backend,7.3,170,1241,100000
52,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,06/04/2026,Correccion de bugs,5,195,975,100000
53,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,09/04/2026,Desarrollo frontend,4.9,170,833,100000
54,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,09/04/2026,Desarrollo frontend,5.3,195,1033.5,100000
55,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,10/04/2026,Correccion de bugs,4.8,195,936,100000
56,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,13/04/2026,Desarrollo backend,7.5,195,1462.5,100000
57,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,23/04/2026,Desarrollo frontend,4.2,170,714,100000
58,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,23/04/2026,Documentacion,2.5,195,487.5,100000
59,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,24/04/2026,Pruebas,5.7,195,1111.5,100000
60,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,27/04/2026,Pruebas,4.2,170,714,100000
61,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,28/04/2026,Analisis,7,210,1470,100000
62,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,30/04/2026,Reunion,0.8,210,168,100000
63,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,30/04/2026,Desarrollo frontend,3,210,630,100000
64,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,01/05/2026,Diseño BD,3.9,210,819,100000
65,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,04/05/2026,Desarrollo frontend,2.1,170,357,100000
66,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,04/05/2026,Diseño BD,5.4,210,1134,100000
67,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,04/05/2026,Pruebas,3.9,195,760.5,100000
68,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,06/05/2026,Documentacion,6.9,170,1173,100000
69,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,06/05/2026,Documentacion,3.2,170,544,100000
70,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,06/05/2026,Pruebas,4.8,210,1008,100000
71,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,08/05/2026,Analisis,4.7,170,799,100000
72,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,12/05/2026,Correccion de bugs,7.9,195,1540.5,100000
73,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,13/05/2026,Documentacion,4,210,840,100000
74,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,14/05/2026,Despliegue,5.1,170,867,100000
75,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,15/05/2026,Pruebas,3.2,210,672,100000
76,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,15/05/2026,Desarrollo backend,4.2,170,714,100000
77,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,18/05/2026,Correccion de bugs,3.5,210,735,100000
78,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,18/05/2026,Desarrollo frontend,4.3,195,838.5,100000
79,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,20/05/2026,Desarrollo backend,1.9,195,370.5,100000
80,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,20/05/2026,Desarrollo backend,2.5,210,525,100000
81,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,20/05/2026,Pruebas,9,195,1755,100000
82,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,21/05/2026,Documentacion,5.1,170,867,100000
83,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,21/05/2026,Correccion de bugs,2.7,170,459,100000
84,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,22/05/2026,Correccion de bugs,5.3,170,901,100000
85,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,22/05/2026,Pruebas,4.3,210,903,100000
86,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,25/05/2026,Analisis,4,210,840,100000
87,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,25/05/2026,Pruebas,3.5,170,595,100000
88,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,27/05/2026,Reunion,4.8,210,1008,100000
89,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,28/05/2026,Despliegue,4.6,210,966,100000
90,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,29/05/2026,Despliegue,5.1,195,994.5,100000
91,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,29/05/2026,Documentacion,9,210,1890,100000
92,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,29/05/2026,Documentacion,5.2,210,1092,100000
93,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,29/05/2026,Analisis,2.5,170,425,100000
94,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,01/06/2026,Analisis,5.4,210,1134,100000
95,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,03/06/2026,Desarrollo backend,6.2,170,1054,100000
96,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,03/06/2026,Correccion de bugs,3.7,210,777,100000
97,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,08/06/2026,Reunion,4.6,170,782,100000
98,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,09/06/2026,Diseño BD,4,210,840,100000
99,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,10/06/2026,Despliegue,7.1,170,1207,100000
100,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,11/06/2026,Desarrollo frontend,4.8,210,1008,100000
101,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,15/06/2026,Diseño BD,3.8,195,741,100000
102,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,15/06/2026,Desarrollo frontend,7.6,195,1482,100000
103,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,17/06/2026,Desarrollo frontend,6.1,170,1037,100000
104,1,Modulo Nomina,Recursos Humanos,5,Marisol Vega,QA,22/06/2026,Desarrollo frontend,2.6,170,442,100000
105,1,Modulo Nomina,Recursos Humanos,7,Paola Cruz,Frontend,23/06/2026,Despliegue,6.8,195,1326,100000
106,1,Modulo Nomina,Recursos Humanos,2,Luis Medina,Backend,23/06/2026,Pruebas,6.6,210,1386,100000
107,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,05/01/2026,Desarrollo frontend,3.2,195,624,100000
108,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,09/01/2026,Despliegue,6,215,1290,100000
109,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,13/01/2026,Despliegue,6.9,170,1173,100000
110,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,16/01/2026,Correccion de bugs,5.5,240,1320,100000
111,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,19/01/2026,Pruebas,6.6,235,1551,100000
112,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,19/01/2026,Documentacion,5.9,235,1386.5,100000
113,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,19/01/2026,Desarrollo frontend,6.9,235,1621.5,100000
114,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,20/01/2026,Desarrollo backend,1.6,235,376,100000
115,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,20/01/2026,Reunion,5.3,235,1245.5,100000
116,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,20/01/2026,Despliegue,2,240,480,100000
117,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,23/01/2026,Despliegue,7.4,195,1443,100000
118,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,23/01/2026,Despliegue,5.8,240,1392,100000
119,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,26/01/2026,Documentacion,3.3,235,775.5,100000
120,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,27/01/2026,Analisis,7.8,235,1833,100000
121,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,27/01/2026,Despliegue,5.1,240,1224,100000
122,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,28/01/2026,Reunion,6,235,1410,100000
123,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,28/01/2026,Analisis,8.6,235,2021,100000
124,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,29/01/2026,Analisis,6,215,1290,100000
125,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,30/01/2026,Desarrollo backend,3.5,215,752.5,100000
126,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,02/02/2026,Despliegue,3.3,195,643.5,100000
127,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,03/02/2026,Despliegue,4,240,960,100000
128,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,03/02/2026,Reunion,10,240,2400,100000
129,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,04/02/2026,Reunion,5,235,1175,100000
130,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,09/02/2026,Pruebas,6.9,215,1483.5,100000
131,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,09/02/2026,Despliegue,4.8,240,1152,100000
132,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,10/02/2026,Reunion,4.6,195,897,100000
133,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,13/02/2026,Reunion,5.9,170,1003,100000
134,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,17/02/2026,Documentacion,5.2,240,1248,100000
135,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,19/02/2026,Pruebas,5.4,170,918,100000
136,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,24/02/2026,Reunion,9.9,195,1930.5,100000
137,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,27/02/2026,Documentacion,3.5,240,840,100000
138,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,27/02/2026,Pruebas,5.3,215,1139.5,100000
139,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,03/03/2026,Desarrollo backend,8.2,235,1927,100000
140,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,09/03/2026,Correccion de bugs,3.9,240,936,100000
141,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,11/03/2026,Desarrollo frontend,6.4,195,1248,100000
142,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,16/03/2026,Correccion de bugs,5.2,235,1222,100000
143,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,18/03/2026,Diseño BD,5.1,170,867,100000
144,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,20/03/2026,Diseño BD,7.4,235,1739,100000
145,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,23/03/2026,Despliegue,6.4,215,1376,100000
146,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,26/03/2026,Documentacion,4.5,240,1080,100000
147,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,27/03/2026,Correccion de bugs,4.8,170,816,100000
148,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,31/03/2026,Documentacion,4,215,860,100000
149,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,31/03/2026,Diseño BD,4,195,780,100000
150,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,31/03/2026,Desarrollo backend,2.8,195,546,100000
151,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,01/04/2026,Documentacion,3.8,240,912,100000
152,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,03/04/2026,Documentacion,5.6,215,1204,100000
153,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,06/04/2026,Pruebas,6.4,170,1088,100000
154,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,06/04/2026,Documentacion,9,215,1935,100000
155,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,06/04/2026,Diseño BD,7.1,215,1526.5,100000
156,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,07/04/2026,Correccion de bugs,4.4,195,858,100000
157,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,07/04/2026,Pruebas,5,240,1200,100000
158,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,10/04/2026,Despliegue,5.7,195,1111.5,100000
159,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,10/04/2026,Documentacion,8.3,235,1950.5,100000
160,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,13/04/2026,Desarrollo frontend,6.2,195,1209,100000
161,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,14/04/2026,Desarrollo frontend,1.9,170,323,100000
162,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,15/04/2026,Despliegue,1.8,215,387,100000
163,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,16/04/2026,Reunion,6.1,215,1311.5,100000
164,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,17/04/2026,Diseño BD,0.5,195,97.5,100000
165,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,17/04/2026,Desarrollo frontend,8.9,235,2091.5,100000
166,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,17/04/2026,Desarrollo backend,5.3,215,1139.5,100000
167,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,21/04/2026,Desarrollo frontend,4,215,860,100000
168,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,22/04/2026,Analisis,5.9,215,1268.5,100000
169,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,22/04/2026,Desarrollo frontend,9.1,170,1547,100000
170,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,24/04/2026,Despliegue,7.4,235,1739,100000
171,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,24/04/2026,Documentacion,2.9,195,565.5,100000
172,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,24/04/2026,Diseño BD,7,215,1505,100000
173,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,28/04/2026,Analisis,7.1,170,1207,100000
174,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,29/04/2026,Desarrollo frontend,10,235,2350,100000
175,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,30/04/2026,Correccion de bugs,2.8,195,546,100000
176,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,01/05/2026,Analisis,2.7,170,459,100000
177,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,05/05/2026,Reunion,3.5,240,840,100000
178,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,11/05/2026,Pruebas,5,235,1175,100000
179,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,11/05/2026,Documentacion,3,240,720,100000
180,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,11/05/2026,Documentacion,4,215,860,100000
181,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,11/05/2026,Reunion,4.9,170,833,100000
182,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,11/05/2026,Pruebas,5.7,240,1368,100000
183,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,12/05/2026,Reunion,5.5,170,935,100000
184,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,12/05/2026,Despliegue,4.3,170,731,100000
185,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,12/05/2026,Desarrollo frontend,3.1,240,744,100000
186,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,12/05/2026,Desarrollo frontend,2.9,170,493,100000
187,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,13/05/2026,Desarrollo frontend,5.1,215,1096.5,100000
188,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,13/05/2026,Diseño BD,9.8,215,2107,100000
189,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,18/05/2026,Reunion,4.2,170,714,100000
190,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,18/05/2026,Pruebas,4.8,170,816,100000
191,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,18/05/2026,Diseño BD,7,240,1680,100000
192,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,19/05/2026,Reunion,4.8,240,1152,100000
193,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,20/05/2026,Correccion de bugs,6.9,240,1656,100000
194,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,21/05/2026,Reunion,5.2,215,1118,100000
195,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,22/05/2026,Pruebas,2.4,215,516,100000
196,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,22/05/2026,Despliegue,5.8,170,986,100000
197,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,22/05/2026,Correccion de bugs,2.4,240,576,100000
198,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,25/05/2026,Documentacion,7.4,195,1443,100000
199,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,25/05/2026,Correccion de bugs,4.9,195,955.5,100000
200,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,27/05/2026,Reunion,5.9,195,1150.5,100000
201,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,01/06/2026,Correccion de bugs,2.2,170,374,100000
202,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,03/06/2026,Pruebas,6,235,1410,100000
203,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,10/06/2026,Analisis,1.3,195,253.5,100000
204,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,12/06/2026,Despliegue,6.8,195,1326,100000
205,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,15/06/2026,Pruebas,3.4,235,799,100000
206,2,Portal Tramites,Atencion Ciudadana,8,Hector Ibarra,Data/ML,15/06/2026,Despliegue,5.3,235,1245.5,100000
207,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,16/06/2026,Correccion de bugs,8.8,195,1716,100000
208,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,16/06/2026,Reunion,1.9,170,323,100000
209,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,16/06/2026,Desarrollo frontend,3,240,720,100000
210,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,17/06/2026,Despliegue,7.8,240,1872,100000
211,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,18/06/2026,Desarrollo frontend,7.1,195,1384.5,100000
212,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,19/06/2026,Analisis,5,195,975,100000
213,2,Portal Tramites,Atencion Ciudadana,5,Marisol Vega,QA,19/06/2026,Reunion,5.3,170,901,100000
214,2,Portal Tramites,Atencion Ciudadana,6,Diego Salinas,Backend,19/06/2026,Correccion de bugs,10,215,2150,100000
215,2,Portal Tramites,Atencion Ciudadana,7,Paola Cruz,Frontend,22/06/2026,Despliegue,0.8,195,156,100000
216,2,Portal Tramites,Atencion Ciudadana,4,Jorge Peña,Data/ML,26/06/2026,Despliegue,3.8,240,912,100000
217,3,Reporteador Financiero,Finanzas,1,Ana Torres,Backend,07/01/2026,Desarrollo backend,5.1,220,1122,95000
218,3,Reporteador Financiero,Finanzas,1,Ana Torres,Backend,08/01/2026,Desarrollo backend,5.2,220,1144,95000
219,3,Reporteador Financiero,Finanzas,4,Jorge Peña,Data/ML,14/01/2026,Despliegue,4.2,240,1008,95000
220,3,Reporteador Financiero,Finanzas,4,Jorge Peña,Data/ML,15/01/2026,Documentacion,5.6,240,1344,95000
221,3,Reporteador Financiero,Finanzas,8,Hector Ibarra,Data/ML,19/01/2026,Reunion,3.7,235,869.5,95000
222,3,Reporteador Financiero,Finanzas,5,Marisol Vega,QA,19/01/2026,Desarrollo frontend,5.9,170,1003,95000
